state,state_abbrev,jurisdiction,jurisdiction_type,date_enacted,duration,legal_basis,trigger,current_status,affected_projects,outcome,has_verify_tags,verify_count,cite_count,activity_level,enacted_status,moratorium_id,latitude,longitude,date_enacted_iso,date_enacted_uncertainty,duration_days,duration_kind,current_end_date_iso,sectors,trigger_categories
Alabama,AL,Anniston,City,"2026-08-18, Anniston City Council unanimous adoption of Resolution No. 26-R-97 (added to the agenda by amendment)","12 months, effective immediately; council may shorten or extend. Planning Commission to report recommendations within six months.","Resolution No. 26-R-97 (temporary moratorium on the permitting, development and licensing of data centers within the city's regulatory jurisdiction)","Planning Commission recommendation; existing zoning does not address large-scale data centers (electrical demand, water/wastewater, stormwater, noise, lighting, generators, neighborhood compatibility). City already hosts a 2 MW colocation facility (FirmFarm).","Active as of 2026-09-23; Resolution 26-R-97 adopted 2026-08-18, effective immediately, scheduled for 12 months (to about 2027-08-18).",Existing data centers unaffected unless they cease operations 60+ days or let a business license lapse.,One-year moratorium adopted.,False,0,0,Medium,active,al-anniston-2026,33.662482,-85.828322,2026-08-18,exact,365,fixed_days,,"[""data_center""]","[""regulatory_gap"",""infrastructure_capacity"",""water"",""grid_energy"",""noise"",""land_use_compatibility""]"
Alabama,AL,Birmingham,City,2026-03-03,"180 days from the March 3, 2026 adoption/vote date, expiring August 30, 2026 (March 3 plus 180 days). WBRC and Birmingham Times both confirm the March 3, 2026 vote date and the six-month term; no separate publication-date lag was found or is needed for this calculation.","Birmingham City Council March 3, 2026 agenda, P(ph) Item 1, ""An Ordinance to consider a temporary suspension on data centers within the City"" [Second Reading], adopted unanimously per Birmingham Times reporting; the city's data center policy page (birminghamal.gov/datacenters) confirms the moratorium is in effect [VERIFY: formal ordinance number not yet visible in Municode or city ordinance index as of 2026-04-29]","Regulatory gap and project pressure from large/hyperscale proposals; city cited need to review zoning, land-use policy, infrastructure readiness, environmental responsibility, neighborhood compatibility, and transparent approval procedures","Replaced; the moratorium ended at the close of its 180-day term (on or about 2026-08-30) and was superseded by the permanent data-center zoning ordinance (zoning case ZAC2026-00001, 20 conditions for hyperscale facilities) adopted 6-3 on 2026-06-09, which per WBRC took effect when the moratorium lifted. AL.com (2026-09-18) lists Birmingham's moratorium as expired and replaced by the new zoning regulations; the city's data-center page now describes only the adopted zoning rules.",Applies prospectively to new or expanding large/hyperscale data centers above 20 MW. The Nebius BHM01/Oxmoor project and DC BLOX expansion were reported as exempt because applications or permits were already complete or under review before the moratorium took effect.,Replaced by permanent data-center zoning regulations (ZAC2026-00001) adopted 2026-06-09 and effective when the moratorium ended (~2026-08-30).,True,1,0,Medium,replaced,al-birmingham-2026,33.520682,-86.802433,2026-03-03,exact,180,fixed_days,2026-08-30,"[""data_center""]","[""specific_project"", ""regulatory_gap"", ""infrastructure_capacity"", ""environmental"", ""land_use_compatibility""]"
Alabama,AL,Calera,City,"2026-07-06, Calera City Council motion approving a 6-month moratorium on data centers (5 ayes, 1 abstention), per minutes approved 2026-07-20",Six months,"Calera City Council motion approving a six-month moratorium on data centers, added to the July 6, 2026 agenda by amendment (no resolution or ordinance number recorded in the minutes)",Not stated in the minutes; Shelby County cities acting amid data center proposals in the county.,Active as of 2026-09-23; six-month moratorium approved 2026-07-06 (runs to about early January 2027).,None identified.,Six-month moratorium adopted.,False,0,0,Medium,active,al-calera-2026,33.103504,-86.750573,2026-07-06,exact,180,fixed_days,,"[""data_center""]","[""regulatory_gap""]"
Alabama,AL,Chelsea,City,"2026-07-21, Chelsea City Council unanimous voice vote adopting Resolution 2026-07-21-1407",One year,Resolution 2026-07-21-1407 (moratorium on certain business licenses and building permits for data centers); companion Resolution 2026-07-21-1406 covers residential rental communities,"Proactive; zoning ordinance does not address data centers; no credible proposal in city limits, though nearby communities have projects.",Active as of 2026-09-23; one-year moratorium on new building permits and business licenses for data centers adopted 2026-07-21 while the city rewrites its zoning ordinance.,None identified.,One-year moratorium adopted.,False,0,0,Medium,active,al-chelsea-2026,33.340111,-86.630263,2026-07-21,exact,365,fixed_days,,"[""data_center""]","[""regulatory_gap"",""land_use_compatibility""]"
Alabama,AL,Cullman,City,"2026-06-22 (Monday), Cullman City Council unanimous adoption of Resolution No. 2026-116",12 months,"Resolution No. 2026-116 (City of Cullman), imposing a temporary one-year moratorium on the acceptance, processing and approval of data-center applications; a separate proposed permanent prohibition, Ordinance No. 2026-42, was referred to the Planning Commission",City will examine existing zoning districts and assess potential impacts of data centers on residents' quality of life during the moratorium,"Active as of 2026-09-23 under Resolution No. 2026-116 (adopted 2026-06-22; one-year term to about 2027-06-22). Proposed Ordinance No. 2026-42, which would permanently prohibit data centers in city limits, was pulled from the 2026-09-01 Planning Commission agenda at the city clerk's request ('Additional time is needed for review'); the next Planning Commission meeting is 2026-10-06.",Not identified in captured news coverage,City council unanimously adopted a 12-month moratorium on data centers,False,0,0,Medium,active,al-cullman-2026,34.133533,-86.877927,2026-06-22,exact,365,fixed_days,2027-06-22,"[""data_center""]","[""regulatory_gap"",""land_use_compatibility""]"
Alabama,AL,Fairfield,City,2026-07-27 (City adoption of Ordinance 1174),180-day prospective moratorium beginning on the ordinance's effective date (publication/posting date not located),Ordinance 1174,"Pause on new data centers, data center support facilities, and material expansions; exempts two specified parcels at 7199 and 7160 Aaron Aronov Drive and preserves vested rights and existing lawful operations",Active as of adoption 2026-07-27; the publication/posting date establishing the precise effective and expiration dates was not located. [VERIFY],Exempts 7199 and 7160 Aaron Aronov Drive (site of the disclosed Patmos colocation data center proposal reported 2026-07-22),,True,1,0,Medium,active,al-fairfield-2026,33.491684,-86.915028,2026-07-27,exact,180,fixed_days,,"[""data_center""]","[""regulatory_gap"",""specific_project""]"
Alabama,AL,Foley,City,"2026-09-08 (Tuesday), Foley City Council approval of the ordinance on final reading","Six months, in effect upon adoption","Foley City Council ordinance imposing a temporary moratorium on data centers, Bitcoin/cryptocurrency mining facilities, server farms and similar technically oriented uses (a Gulf Coast Media legal-notice listing titles it Ordinance 26-2029; that page returned 404 and could not be archived)","Proactive; no known proposal. Time to update zoning ordinances and technical design manuals for water, air and noise, and to evaluate megawatt thresholds with city-owned Riviera Utilities.",Active as of 2026-09-23; six-month moratorium adopted on final reading 2026-09-08 and in effect (to about early March 2027).,None; no data center proposed in or near Foley.,Six-month moratorium adopted.,False,0,0,Medium,active,al-foley-2026,30.406587,-87.683597,2026-09-08,exact,180,fixed_days,,"[""data_center"",""cryptocurrency_mining""]","[""regulatory_gap"",""water"",""grid_energy"",""noise"",""environmental""]"
Alabama,AL,Fort Payne,City,2026-06-16 (City Council unanimous approval of a six-month data center moratorium),Six months while the Planning Commission drafts zoning rules,City Council ordinance/resolution (instrument number not located),Pause on data center development while the city drafts zoning rules; officials said the city had received no data center inquiry and acted before an application arrived,"Active as of 2026-09-23; per WAFF the six-month moratorium remains in effect through 2026-12-15 (the council may extend it). On 2026-09-01 the council unanimously adopted permanent zoning rules making data centers and battery energy storage systems conditional uses in manufacturing/warehouse districts (Board of Zoning Adjustment review plus public hearing), but the moratorium was not ended. The adopted moratorium text and instrument number were not located. [VERIFY instrument number not confirmed at confidence 0.6 in the 2026-07 refresh]",,,True,1,0,Medium,active,al-fort-payne-2026,34.444255,-85.719689,2026-06-16,exact,180,fixed_days,,"[""data_center"",""battery_storage""]","[""regulatory_gap""]"
Alabama,AL,Harpersville,Town,"2026-08-03, Harpersville Town Council unanimous roll-call adoption (one member absent) of Ordinance 2026-08-03-03",Six months from the effective date (effective immediately upon adoption); expires automatically unless extended,"Ordinance 2026-08-03-03, 'An Ordinance Declaring a Six (6) Month Moratorium on Data Centers'","Proactive; no developer has approached the town, but nearby Wilsonville, Westover and Childersburg have been approached. Study electrical demand, water, emergency services and noise; monthly public information sessions planned.","Active as of 2026-09-23; six-month moratorium on zoning, rezoning, new business licenses and building permits for data centers (including cryptocurrency mining and blockchain processing) in town limits and police jurisdiction, adopted and effective 2026-08-03, expiring 2027-02-03 unless extended.",None proposed.,Six-month moratorium adopted; informational sessions began 2026-08-31.,False,0,0,Medium,active,al-harpersville-2026,33.344000,-86.438036,2026-08-03,exact,180,fixed_days,,"[""data_center"",""cryptocurrency_mining""]","[""regulatory_gap"",""infrastructure_capacity"",""water"",""grid_energy"",""noise""]"
Alabama,AL,Helena,City,"Reported as approved 2026-08-10 (AL.com; AL.com map); WVTM called the Aug. 10 action a first reading with second reading on Aug. 24, and council members later referred to restrictions adopted 'in June'. An amendment exempting two pre-existing projects was adopted 3-1 on 2026-09-14.",180 days from the effective date (upon publication); may be extended or rescinded,"Ordinance No. 1043-2026, temporary suspension on the establishment or expansion of gas stations, auto parts/mechanic shops, automobile or manufactured home dealerships, and data centers (amended 2026-09-14)","Zoning does not restrict certain B2/B3/M1/M2 uses near Highways 17, 52, 58 and 95; need to study appropriate regulation while a zoning rewrite is underway.","Active as of 2026-09-23; Ordinance 1043-2026 suspends applications for new or expanded data centers, gas stations, auto businesses and dealerships for 180 days. On 2026-09-14 the council amended it 3-1 to exempt two previously initiated projects; data centers remain covered. Council members said they plan a separate, more detailed standalone data-center moratorium. [VERIFY details not confirmed at confidence 0.65 in the 2026-09 refresh]",Amendment exempts a Highway 58 hardware store/convenience store with gas pumps and a proposed two-bay oil-change facility; no data center project identified.,Multi-use 180-day moratorium in force; standalone data-center moratorium planned.,True,1,0,Medium,active,al-helena-2026,33.296224,-86.843600,2026-08,month_only,180,fixed_days,,"[""data_center"",""general""]","[""regulatory_gap"",""land_use_compatibility"",""environmental""]"
